reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
d32a6436-893d-43fa-a670-c8992165bb38,fathur razikin,https://play-lh.googleusercontent.com/a-/ALV-UjX8IwNmF_gkWXT9styoLNBv3WkidmlJ1dfFu86b8zMwkoQ0QkU,update terossss,1,0,,2025-12-12 15:48:12,"Halo Sahabat @fathur razikin, mohon maaf atas ketidaknyamanannya. Terkait kendala Sahabat mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi Mandiri Call 14000 lalu tekan 2 agar dapat dilakukan pengecekan. Tks~Amar",2025-12-12 16:37:19,
b0a2e44c-8343-4d8d-8bf5-49b9a4e88aeb,Jhon Crisist,https://play-lh.googleusercontent.com/a/ACg8ocIG9hK36AXbdSfLhN0jVgu5p04pG6mgzp9sMOaXB96oR-cePw=mo,ini apa apaan kalo mau minjem harus buka deposito dulu. klo orang ada modal yaa ngapain minjem,1,0,,2025-12-12 14:59:49,"Halo Sahabat @Jhon Crisist, mohon maaf atas ketidaknyamanannya. Apabila terkendala saat menggunakan Livin' by Mandiri, mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi Mandiri Call 14000 lalu tekan 2 agar dapat dilakukan pengecekan. Tks~Amar",2025-12-12 15:02:46,
91ff802d-82f2-4202-8da9-68ef31e954d5,Nur Kholis,https://play-lh.googleusercontent.com/a/ACg8ocLF2nbGV6Tozy8yzUj85lC835dFXrITKlxtlEu9yfPYQ9oMDQ=mo,"aplikasi nya lemot,nnti saya tambahin lagi bintang nya kalo udah di perbaiki,saya mau tarik tunai dari tadi gagal terus",1,0,3.2.0,2025-12-12 14:25:09,"Halo Sahabat @Nur Kholis, mohon maaf atas ketidaknyamanannya. Kami sarankan Sahabat melakukan force close aplikasi kemudian restart HP yg digunakan, jaringan yg digunakan dlm keadaan stabil dan dipastikan tdk menggunakan WiFi. Jika masih terkendala dpt mengirimkan email ke mandiricare@bankmandiri.co.id atau hubungi mandiri call 14000. Tks ~ Said",2025-12-12 14:27:59,3.2.0
d78c572e-67f4-401d-949d-29ded029be29,Romando Gultom,https://play-lh.googleusercontent.com/a-/ALV-UjX2ROE1TTv9CFkQWwFE8gnWX-Izdie3oDmzEF7-vwtUFANsbUpz,"Buat livin, selanjutnya perbaiki bagian top up e-money. Terkhususnya top up dana. Ribet amat, nomor dana kagak kedetek mulu, aneh.",1,0,3.2.0,2025-12-12 14:17:35,"Halo Sahabat @Romando Gultom, mohon maaf atas ketidaknyamanannya. Apabila terdapat kendala agar dapat kami tindaklanjuti, Sahabat dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau menghubungi layanan mandiri call 14000 ya. Tks~Carlos",2025-12-12 14:24:14,3.2.0
069cb92a-23ac-4554-b118-1c66abfdb73a,Arya Syafiqi,https://play-lh.googleusercontent.com/a/ACg8ocI185og_aN4pvXVZvaKGep0ExPphN3hvd2rgyeEa1geT8E7xw=mo,kenapa ya Aplikasi Livin by mandiri saya tidak bisa d buka KLO mau loading pasti terkembali trss Kaka tolong dbrbaiki lgi saya ini tidak bisa buka Livin saya,1,0,,2025-12-12 14:10:59,"Hai Sahabat @Arya Syafiqi, mohon maaf atas ketidaknyamanannya. Mohon mencoba kembali secara berkala dgn dipastikan sudah melakukan force close aplikasi dan jaringan stabil. Jika masih terdapat kendala mohon mengirimkan email ke mandiricare@bankmandiri.co.id atau menghubungi mandiri call 14000 lalu tekan 2 utk dilakukan pengecekan. Tks~Divia",2025-12-12 14:14:57,
b156a978-0ecd-436c-92c6-358b74d89ff1,Fernando Inzhagi Alfarizi Majid,https://play-lh.googleusercontent.com/a-/ALV-UjWsmt1TE7V47eJ_TyLCpGJ4DH87lR8W58f1z76HjxcZVI_yj1e6,salesnya maksa,1,0,,2025-12-12 13:45:28,"Halo Sahabat @Fernando Inzhagi Alfarizi Majid, mohon maaf atas ketidaknyamanannya. Terimakasih atas saran dan masukan yang diberikan, perihal tsb akan menjadi masukan bagi kami untuk pengembangan aplikasi kedepannya dan meningkatkan kualitas layanan Livin' by Mandiri. Tks~Kila",2025-12-12 13:47:08,
07ff1782-8d4a-4fb6-8749-4adbaa230b81,Randy Adri,https://play-lh.googleusercontent.com/a/ACg8ocIMQkTCUHyUK3FqP8YfnnHw-pKe4XPDRTqX8Hv5R9bujZVu=mo,pelayanan sangat buruk dan tidak profesional,1,0,3.2.0,2025-12-12 13:21:05,"Halo Sahabat @Randy Adri, mohon maaf atas ketidaknyamanannya. Perihal tsb akan menjadi masukan bagi kami untuk pengembangan aplikasi kedepannya dan meningkatkan kualitas layanan Bank Mandiri demi kenyamanan nasabah ya. Tks~Carissa",2025-12-12 13:24:06,3.2.0
862a7139-c624-40ef-a9e1-9ce5da7f38af,Philipus Arman,https://play-lh.googleusercontent.com/a-/ALV-UjVNj3dNGT3SCeF7gVv1wNJi8flkISxGNzTrfSrNzAZVUgRB_kCh,sulit sekali saat login aplikasi tidak membantu,1,0,1.9.0,2025-12-12 13:01:59,"Halo Sahabat @Philipus Arman, mohon maaf atas ketidaknyamannya. Untuk perihal kendala pada layanan Livin' by Mandiri, mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri 14000 dengan tekan 2 agar dapat dilakukan pengecekan. Tks~Irish",2025-12-12 13:08:06,1.9.0
7ed65af0-6901-422f-87f2-c3d4b5482126,Rezkikhumairah,https://play-lh.googleusercontent.com/a/ACg8ocKJRPO0zwcz3wK3czsYsSONZ5tDbLoLe48vdjL5XjvHHOZ-dQ=mo,tidak bisa verifikasi wajah gagal mulu,2,0,,2025-12-12 12:53:00,,,
d09e3ed2-c7a1-4a03-b398-7e45fb20274e,RahmatRamadhan 97,https://play-lh.googleusercontent.com/a-/ALV-UjXSll9OEqSj19clVomj-Z5GtIfh9PvdufykePwAtNrad8Qc3XlKtg,"login sudah betul dan sandi betul, udah saya catat di buku, tapi bermasalah juga gimana",1,0,3.2.0,2025-12-12 12:33:11,"Halo Sahabat @RahmatRamadhan 97, mohon maaf atas ketidaknyamanannya. Terkait kendala Sahabat mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi Mandiri Call 14000 lalu tekan 2 agar dapat dilakukan pengecekan. Tks~Kila",2025-12-12 12:35:26,3.2.0
